,Survey,List,Participant,Nativeness,Age,Gender,Education,ItemID,Response,Scenario,Suspect,EStrength,ItemType,Condition,Item,ItemC,CorrectControl,Fillertype,EvidenceType,Evident
1,Survey1,2,Survey1_1,British English,34,she/her,Bachelor Degree,Item1b,believe,Briefing,EB,weak,Item,b,1,1 wB,NA,No,statement,0
2,Survey1,2,Survey1_1,British English,34,she/her,Bachelor Degree,Item2a,believe,Briefing,EB,strong,Item,a,2,2 sB,NA,No,picture,100
3,Survey1,2,Survey1_1,British English,34,she/her,Bachelor Degree,Item3b,believe,Briefing,EB,weak,Item,b,3,3 wB,NA,No,document,86
4,Survey1,2,Survey1_1,British English,34,she/her,Bachelor Degree,Item4a,believe,Briefing,EB,strong,Item,a,4,4 sB,NA,No,picture,100
5,Survey1,2,Survey1_1,British English,34,she/her,Bachelor Degree,Item5b,believe,Briefing,EB,weak,Item,b,5,5 wB,NA,No,document,15
6,Survey1,2,Survey1_1,British English,34,she/her,Bachelor Degree,Item6a,believe,Briefing,EB,strong,Item,a,6,6 sB,NA,No,picture,7
7,Survey1,2,Survey1_1,British English,34,she/her,Bachelor Degree,Item7b,believe,Briefing,EB,weak,Item,b,7,7 wB,NA,No,statement,70
8,Survey1,2,Survey1_1,British English,34,she/her,Bachelor Degree,Item8a,believe,Briefing,EB,strong,Item,a,8,8 sB,NA,No,document,100
9,Survey1,2,Survey1_1,British English,34,she/her,Bachelor Degree,Item9b,believe,Briefing,EB,weak,Item,b,9,9 wB,NA,No,picture,19
10,Survey1,2,Survey1_1,British English,34,she/her,Bachelor Degree,Item10a,believe,Briefing,EB,strong,Item,a,10,10 sB,NA,No,statement,99
11,Survey1,2,Survey1_1,British English,34,she/her,Bachelor Degree,Item11b,believe,Interrogation,JS,weak,Item,d,11,11 wI,NA,No,statement,8
12,Survey1,2,Survey1_1,British English,34,she/her,Bachelor Degree,Item12a,believe,Interrogation,JS,strong,Item,c,12,12 sI,NA,No,document,100
13,Survey1,2,Survey1_1,British English,34,she/her,Bachelor Degree,Item13b,believe,Interrogation,JS,weak,Item,d,13,13 wI,NA,No,statement,35
14,Survey1,2,Survey1_1,British English,34,she/her,Bachelor Degree,Item14a,know,Interrogation,JS,strong,Item,c,14,14 sI,NA,No,picture,88
15,Survey1,2,Survey1_1,British English,34,she/her,Bachelor Degree,Item15b,believe,Interrogation,JS,weak,Item,d,15,15 wI,NA,No,document,62
16,Survey1,2,Survey1_1,British English,34,she/her,Bachelor Degree,Item16a,believe,Interrogation,JS,strong,Item,c,16,16 sI,NA,No,document,20
17,Survey1,2,Survey1_1,British English,34,she/her,Bachelor Degree,Item17b,believe,Interrogation,JS,weak,Item,d,17,17 wI,NA,No,document,0
19,Survey1,2,Survey1_1,British English,34,she/her,Bachelor Degree,Item19b,believe,Interrogation,JS,weak,Item,d,19,19 wI,NA,No,statement,2
20,Survey1,2,Survey1_1,British English,34,she/her,Bachelor Degree,Item20a,know,Interrogation,JS,strong,Item,c,20,20 sI,NA,No,document,100
21,Survey1,1,Survey1_10,British English,32,she/her,Bachelor Degree,Item1a,believe,Briefing,EB,strong,Item,a,1,1 sB,NA,No,document,82
22,Survey1,1,Survey1_10,British English,32,she/her,Bachelor Degree,Item2b,know,Briefing,EB,weak,Item,b,2,2 wB,NA,No,statement,82
23,Survey1,1,Survey1_10,British English,32,she/her,Bachelor Degree,Item3a,know,Briefing,EB,strong,Item,a,3,3 sB,NA,No,picture,100
24,Survey1,1,Survey1_10,British English,32,she/her,Bachelor Degree,Item4b,believe,Briefing,EB,weak,Item,b,4,4 wB,NA,No,document,74
